2025-01-28 11:05:32.963 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-28 11:05:32.966 | INFO     | __main__:<module>:68 - Project root: C:\Users\mvang\Streaming_Data_Projects\buzzline-03-mee
2025-01-28 11:05:32.966 | INFO     | __main__:<module>:72 - Data folder: C:\Users\mvang\Streaming_Data_Projects\buzzline-03-mee\data
2025-01-28 11:05:32.967 | INFO     | __main__:<module>:76 - Data file: C:\Users\mvang\Streaming_Data_Projects\buzzline-03-mee\data\buzz.json
2025-01-28 11:05:32.967 | INFO     | __main__:main:136 - START producer.
2025-01-28 11:05:32.967 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-01-28 11:05:32.976 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-01-28 11:05:32.977 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 11:05:35.001 | ERROR    | utils.utils_producer:check_kafka_service_is_ready:102 - Error checking Kafka: NoBrokersAvailable
2025-01-28 11:05:35.002 | ERROR    | utils.utils_producer:verify_services:121 - Kafka broker is not ready. Please check your Kafka setup. Exiting...
2025-01-28 11:06:42.545 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-28 11:06:42.550 | INFO     | __main__:<module>:68 - Project root: C:\Users\mvang\Streaming_Data_Projects\buzzline-03-mee
2025-01-28 11:06:42.550 | INFO     | __main__:<module>:72 - Data folder: C:\Users\mvang\Streaming_Data_Projects\buzzline-03-mee\data
2025-01-28 11:06:42.550 | INFO     | __main__:<module>:76 - Data file: C:\Users\mvang\Streaming_Data_Projects\buzzline-03-mee\data\buzz.json
2025-01-28 11:06:42.550 | INFO     | __main__:main:136 - START producer.
2025-01-28 11:06:42.551 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-01-28 11:06:42.558 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-01-28 11:06:42.558 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 11:06:42.888 | INFO     | utils.utils_producer:check_kafka_service_is_ready:98 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 0, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': '_G8XPam7RfiZtJ066MWexA', 'controller_id': 0}
2025-01-28 11:06:42.889 | INFO     | __main__:get_kafka_topic:50 - Kafka topic: buzzline_json
2025-01-28 11:06:42.889 | INFO     | __main__:get_message_interval:57 - Message interval: 1 seconds
2025-01-28 11:06:42.890 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 11:06:42.890 | INFO     | utils.utils_producer:create_kafka_producer:146 - Connecting to Kafka broker at localhost:9092...
2025-01-28 11:06:42.998 | INFO     | utils.utils_producer:create_kafka_producer:151 - Kafka producer successfully created.
2025-01-28 11:06:42.999 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 11:06:43.319 | INFO     | utils.utils_producer:create_kafka_topic:176 - Creating 'buzzline_json'.
2025-01-28 11:06:43.422 | INFO     | utils.utils_producer:create_kafka_topic:181 - Topic 'buzzline_json' created successfully.
2025-01-28 11:06:43.423 | INFO     | __main__:main:159 - Kafka topic 'buzzline_json' is ready.
2025-01-28 11:06:43.423 | INFO     | __main__:main:165 - Starting message production to topic 'buzzline_json'...
2025-01-28 11:06:43.423 | INFO     | __main__:generate_messages:95 - Opening data file in read mode: C:\Users\mvang\Streaming_Data_Projects\buzzline-03-mee\data\buzz.json
2025-01-28 11:06:43.423 | INFO     | __main__:generate_messages:97 - Reading data from file: C:\Users\mvang\Streaming_Data_Projects\buzzline-03-mee\data\buzz.json
2025-01-28 11:06:43.436 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Eve'}
2025-01-28 11:06:44.438 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Alice'}
2025-01-28 11:06:45.440 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Have a great day!', 'author': 'Charlie'}
2025-01-28 11:06:46.443 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Alice'}
2025-01-28 11:06:47.444 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Diana'}
2025-01-28 11:06:48.446 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Buzz messages for everyone.', 'author': 'Alice'}
2025-01-28 11:06:49.448 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world!', 'author': 'Diana'}
2025-01-28 11:06:50.449 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Eve'}
2025-01-28 11:06:51.451 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Eve'}
2025-01-28 11:06:52.452 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Alice'}
2025-01-28 11:06:53.455 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Diana'}
2025-01-28 11:06:54.457 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Diana'}
2025-01-28 11:06:55.460 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Charlie'}
2025-01-28 11:06:56.461 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Bob'}
2025-01-28 11:06:57.464 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'I love Python!', 'author': 'Bob'}
2025-01-28 11:06:58.465 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Eve'}
2025-01-28 11:06:59.466 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'I love Python!', 'author': 'Eve'}
2025-01-28 11:07:00.469 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Buzz messages for everyone.', 'author': 'Alice'}
2025-01-28 11:07:01.471 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Alice'}
